StudyDesign,Population,Outcome
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a specific study (retrospective study) and its findings, indicating that it is an original research article rather than a review article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a retrospective study, indicating that it is an individual research project rather than a meta-analysis, which typically involves combining the results of multiple studies to draw broader conclusions."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a specific study with inclusion and exclusion criteria, data collection, and analysis methods, which is typical of a research article rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be a retrospective study published in a journal, likely an original research article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a full research study with a specific aim and methodology, rather than a short communication or letter to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text appears to be an abstract of a research study, as it summarizes the purpose, methodology, and findings of the study in a concise manner."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract contains words like \'Electronystagmography\' which is a technical term that might not be commonly used in languages other than English. However, upon closer inspection, I see that the title and abstract are written in proper English grammar and vocabulary, suggesting that the paper was indeed written originally in English."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the study group comprised of 131 patients from the neuro-otology proforma data base at ENT centre and vertigo clinic, with an inclusion criterion of male and female aged 51 years and above."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  ""reason"": ""The abstract mentions that a schematic approach by detailed history, simple tests for vestibular functions like Dix Hallpike, supine roll and head impulse test give important clue to diagnosis.""\n\n}', '{\n\n  ""answer"": ""Yes"",\n  ""reason"": ""The abstract mentions that ENG exhibited 53 (40.45%) patients to have unilateral/bilateral canal paresis, which is related to unilateral vestibular hypofunction.""\n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions patients with vertigo who are affected by their condition in a way that makes them vulnerable to fall and other morbidities. It also talks about patients having recurrent BPPV (36 patients), unilateral/bilateral canal paresis (53 patients), Meniere\'s disease (39 patients), and brain stem pathology (3 cases). These conditions suggest chronic or persistent symptoms."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in this study. The focus is on Electronystagmography (ENG) findings and diagnosis of secondary BPPV."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not explicitly state that the study considered patients with symptoms lasting more than 3 months. It only mentions patients aged 51 years and above presenting with dizziness, imbalance, rotational vertigo, unsteadiness as the chief complaint."" \n\n}']"
"['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'To review the extent and mechanism of the recovery of vestibular function after sudden, isolated, spontaneous, unilateral loss of most or all peripheral vestibular function...\' which indicates that the purpose of the article is to review existing literature on a specific topic.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions a critical review of published literature and personal experience, but does not mention combining data from multiple studies to draw conclusions, which is typical for a meta-analysis.""}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a specific study topic and methodology, indicating that it is likely a review article rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that it is a conference proceedings. It appears to be an original research article, as indicated by the title and the presence of an abstract with results and conclusions."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article, as indicated by the presence of a structured abstract with a clear purpose, methods, results, and conclusions section. The format and content are typical of a full-length research paper rather than a letter to editors.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of the main points and findings of a research study, which is typical of an abstract in academic literature.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not indicate that it is written in English, French or German. The title \'Vestibular function after acute vestibular neuritis\' suggests that the paper may be written in a language other than these three."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'patients\' and \'vestibular rehabilitation\', which implies that the study involves human subjects, likely adults with vestibular neuritis."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'impulsive testing\' which is likely referring to the video head impulse test, a vestibular function test."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'acute vestibular neuritis\', which is a condition characterized by sudden, isolated, spontaneous, unilateral loss of most or all peripheral vestibular function. This condition falls under the broader categories of unilateral vestibular dysfunction, hypofunction, loss, failure, deafferentation, disease, disorder, and syndrome."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that \'the persistent loss of balance that some patients experience after acute vestibular neuritis can be due to inadequate central compensation or to incomplete peripheral recovery\'."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It only discusses the symptoms and signs of acute vestibular neuritis and the extent and mechanism of recovery of vestibular function."" }', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not specifically mention the duration of symptoms being more than 3 months. It only discusses the recovery of vestibular function after acute vestibular neuritis, which implies a short-term or acute condition."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a study design (retrospective chart review) and presents results from an analysis, indicating that the text is reporting on original research rather than reviewing existing literature.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions a \'retrospective chart review\' and does not mention combining data from multiple studies, which is typical of a meta-analysis. Therefore, it appears to be an individual study rather than a meta-analysis."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract contains a clear description of the study design, methods, and results, which is typical of research articles. It does not have the tone or structure of an editorial, which would be more opinion-based and less focused on presenting specific data."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It mentions a retrospective chart review and an academic medical center, which suggests a more formal publication."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a full research article with a study design (retrospective chart review), setting, patients, intervention, main outcome measure, and results, which are typical features of a full-length research paper rather than a letter to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as detailed methodology, results, and discussion sections.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not appear to be in English, French or German. The words \'Vestibular schwannoma\' suggest a medical topic related to neurology, which is often written in English. However, the word \'Schwannoma\' has German origins and is used in other languages such as Spanish (\'Eschwannoma\') and Italian (\'Scleroschwanoma\'). The title also contains words like \'Sex\', \'age\', \'size\', and \'symptoms\', which are commonly used in English medical literature. However, the presence of these words does not necessarily confirm that the paper is written in English.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that approximately 1,269 subjects diagnosed with unilateral vestibular schwannoma between 1997 and 2010 were included in the study. This implies that human patients or participants above the age of 18 were involved."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of vestibular testing methods such as caloric test, rotatory chair test, or video head impulse test. It only discusses tumor size and presenting symptoms."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular schwannoma\', which is a type of benign tumor that affects the vestibulocochlear nerve, and also refers to symptoms such as hearing loss and dizziness. These are all related to unilateral vestibular function."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that patient-reported symptoms at baseline differed by sex, with a higher prevalence of hearing loss in male subjects and dizziness in female subjects. Additionally, the size of the vestibular schwannoma was found to be associated with an increased likelihood of reporting hearing loss and dizziness."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any specific patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It only mentions that patient-reported symptoms at baseline differed by sex."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the duration of symptoms, only that patient-reported presence of hearing loss or dizziness at presentation differed by sex."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a specific study and its findings, indicating that it is an original research article rather than a review article."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a retrospective study performed at a Tertiary Care Academic Centre, indicating that it is an individual study rather than a meta-analysis which typically involves combining the results of multiple studies."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a specific study with methodology and results, indicating that it is a research article rather than an editorial.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It mentions a \'retrospective study performed at Tertiary Care Academic Centre\', which suggests a more formal publication."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is a full study with a clear aim, methodology, and results, which is not typical of letters to the editor. The language used is also formal and academic, indicating a research article rather than a letter.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as methodology, results, and discussion.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract contains words like \'Cochlear implantation\', \'Vestibular schwannoma\' which are not typically found in French or German medical literature. The use of English terminology suggests that this paper is written primarily in English."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that translabyrinthine vestibular schwannoma surgery was performed on \'11 patients\' who were counselled regarding cochlear implantation, indicating that the study involved human subjects above the age of 18."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention vestibular testing methods such as the caloric test, rotatory chair test, or video head impulse test. It only mentions follow-up magnetic resonance imaging (MRI) and promontory testing to confirm the absence of vestibular schwannoma recurrence and viable cochlea."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'single-sided deafness after translabyrinthine vestibular schwannoma surgery\', which is related to unilateral vestibular loss, as the surgery involves removal of the vestibular nerve and part of the inner ear."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'single-sided deafness\' which is a permanent condition resulting from the translabyrinthine vestibular schwannoma surgery. Additionally, it also talks about tinnitus suppression during active cochlear implantation, indicating that some patients may experience persistent or recurrent symptoms of tinnitus."" }', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale in this study. It only discusses cochlear implantation outcomes for hearing rehabilitation and tinnitus reduction."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not provide information about the duration of symptoms being more than 3 months. It only mentions that the patients underwent translabyrinthine vestibular schwannoma surgery and later cochlear implantation, but it does not specify how long they had been experiencing single-sided deafness before the surgery."" }']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract appears to be from an original research study rather than a review article. The text describes the methodology, results, and conclusions of a specific investigation into gait initiation characteristics in elderly patients with unilateral vestibular impairment.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study with specific methods and results, indicating that it is not a meta-analysis which typically synthesizes the findings of multiple studies.""}', '{\n\n  ""answer"": ""No"",\n  ""reason"": ""The abstract contains specific research findings and data analysis, which is typical of a research article rather than an editorial.""\n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be an original research article, possibly published in a peer-reviewed journal."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research study with specific hypotheses and results, which is typical of full-length articles rather than letters to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as methodology, results, and discussion.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract contains words like \'vestibular patients\' which is not typically used in languages other than English. However, the most telling sign is that the abstract does not contain any non-English words or phrases that are commonly found in French and German scientific literature."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'elderly patients\' which implies that the study participants are above the age of 18, specifically older adults."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention the use of any vestibular testing methods. It only mentions that the patients have a documented peripheral unilateral vestibular dysfunction, but it does not specify how this was diagnosed."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract explicitly states that the study tested the hypothesis in patients with \'chronic unsteadiness caused by a documented peripheral unilateral vestibular dysfunction\'."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the vestibular patients have \'chronic unsteadiness\' caused by a documented peripheral unilateral vestibular dysfunction. This suggests that the symptoms are persistent and enduring."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention the use of any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to focus on objective measures of gait initiation and vestibular function."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the vestibular patients have \'chronic unsteadiness caused by a documented peripheral unilateral vestibular dysfunction\', which implies that their symptoms have been present for more than 3 months."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract appears to be an original research study rather than a review article. It presents specific findings and methods related to the effects of selective deafferentation on medial rectus motoneurons, which is indicative of an empirical study rather than a review."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an experimental study where single-unit recordings from medial rectus motoneurons were obtained in the control situation and after selective deafferentation from cats with unilateral transection of either the MLF or the ATD, indicating that it is a primary research article rather than a meta-analysis."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract contains specific research findings and methodology, indicating that the paper is a scientific study rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the paper is from a conference proceedings. It appears to be an original research article, as indicated by the title and abstract format."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article with detailed methodology and results, which is not typical of letters to the editor."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as introduction, methods, results, and discussion.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract contains words like \'Deiters\' which is a name of a person that might be of non-English origin. However, it\'s not possible to determine the exact language without more context.""}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions cats as subjects, indicating that the study was conducted on animals rather than humans."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any vestibular testing methods. It only discusses the effects of selective deafferentation on medial rectus motoneurons and their firing characteristics."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'vestibular input\' and \'ascending tract of Deiters (ATD)\', which are related to the vestibular system. Additionally, it talks about selective deafferentation, which is a procedure that removes or damages the nerve fibers responsible for transmitting sensory information from the vestibular system."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the effects of MLF transection were permanent, 2 months after ATD lesioning all motoneuronal firing parameters were similar to the control. This suggests that there is a chronic or persistent effect on the medial rectus motoneurons following MLF transection."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to be focused on the effects of selective deafferentation on the discharge characteristics of medial rectus motoneurons in cats."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the effects of MLF transection were permanent, and after ATD lesioning all motoneuronal firing parameters were similar to the control 2 months later."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract appears to be an original research study rather than a review article. It presents specific findings and methodology, which is typical of primary research articles."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an experimental study where the author recorded from isolated vestibular neurons in alert cats that had recovered from unilateral vestibular damage, indicating it is not a meta-analysis which typically involves combining and analyzing data from multiple studies."" \n\n}', '{\n\n  ""answer"": ""No"",\n  ""reason"": ""The abstract contains original research findings and methodology, indicating that it is a scientific article rather than an editorial.""\n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that the study was presented at a conference. It appears to be an original research article, possibly published in a peer-reviewed journal."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article, as it presents data and results from experiments conducted on cats. The language used is formal and technical, which is typical of scientific articles published in peer-reviewed journals."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as methodology, results, and discussion.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not appear to be in English, French or German. The word \'sensorimotor\' suggests that the language may be English, but the use of \'central sensorimotor signals\' and \'vestibular damage\' is more technical than typical English usage. However, the phrase \'after recovery from unilateral vestibular damage\' strongly suggests that the paper is written in English.""}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions \'alert cats\' as the subjects, indicating that the study was conducted on animals rather than humans."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any vestibular testing methods. It only talks about recording from isolated vestibular neurons in alert cats that had recovered from unilateral vestibular damage."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the study was conducted on cats that had recovered from unilateral vestibular damage, which is a condition related to unilateral vestibular dysfunction."" \n\n}']","['{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes a study on adaptive rescaling of central sensorimotor signals in cats that had recovered from unilateral vestibular damage. The focus is on the physiological response and adjustment mechanisms after recovery, rather than describing any chronic or persistent symptoms.""}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. The study appears to be focused on the physiological response of vestibular neurons in cats after unilateral vestibular damage."" }', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the cats had recovered from unilateral vestibular damage, but it does not specify the duration of symptoms. It only implies that they had some time to recover before being tested."" \n\n}']"
"['{\n\n""answer"": ""No"",\n""reason"": ""The abstract appears to be an original research study rather than a review article. It presents the results of a specific experiment and discusses the findings, which is typical of an original research study."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract describes an original study with specific methods and results, indicating that it is not a meta-analysis which typically synthesizes the findings of multiple studies.""}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract contains specific research findings and data, indicating that it is a report of original research rather than an editorial."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract does not indicate that it is a conference proceedings. It appears to be an original research article, as evidenced by the presence of an abstract and the fact that it reports on a specific study with results."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research article with a clear objective, methodology, and results, which is not typical of letters to the editor.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text is a summary of a research study (abstract), but it does not contain the full content of the paper, such as introduction, methods, results, and discussion.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract contains words like \'Subjective head vertical test\' which is not typically found in French or German medical literature. The use of technical terms like \'Video-oculography equipment\' also suggests that the paper may be written in English, but the presence of non-English words like \'peripheral vestibular loss\' and \'unilateral peripheral vestibular lesion\' indicates that it could be written in a language other than French or German.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'30 patients with unilateral, peripheral vestibular loss\' and also refers to \'20 healthy, age- and sex-matched subjects served as controls\', indicating that both patient groups and control participants are above the age of 18."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'Subjective head vertical test\' and \'Video-oculography equipment with integrated head position sensor\', which are vestubular testing methods."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract explicitly states that the research is based on patients with \'unilateral, peripheral vestibular loss\', which directly relates to several of the given conditions."" \n\n}']","['{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract states that abnormal subjective head vertical (SHV) persisted in only 20% of the patients indicating that recovery of the peripheral utricular function is occurring within months. This suggests that symptoms are not persistent or enduring, but rather temporary and resolving with time."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It only talks about the use of video-oculography equipment with integrated head position sensor to directly evaluate head tilt in patients with unilateral peripheral vestibular loss."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract mentions that the patients with unilateral peripheral vestibular loss were measured in the acute state, and 3 months later. However, it does not specify that the duration of symptoms is more than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract describes the purpose and design of a study, which is typical in a review article. It also mentions that it\'s a \'retrospective review\', further indicating that it\'s a review article."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a retrospective review of data from 736 patients, but it does not mention combining the results of multiple studies to draw conclusions. Therefore, it is not a meta-analysis."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract contains a clear research question, study design, and results, which are typical characteristics of a research article rather than an editorial."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not indicate that it is a conference proceedings. It appears to be an original research article, as evidenced by the presence of a background section and a study design."" \n\n}', '{\n\n""answer"": ""No"",\n""reason"": ""The abstract suggests that it is an original research study with its own purpose and results, which is not typical of letters to the editor. Letters to the editor usually respond to or comment on previously published articles.""}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The provided text appears to be an abstract of a research study, as it summarizes the background, purpose, design, and results of the study in a concise manner."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The title of the abstract does not appear to be in English, French or German. The word \'Fukuda\' suggests that the paper may have been written in Japanese."" \n\n}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'736 chronic dizzy patients\', indicating that the study involved adult humans."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that the performance on the Fukuda stepping test with and without a head shaking component was compared to electronystagmography (ENG) caloric irrigation unilateral weakness results, which is an example of vestibular testing method."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'peripheral vestibular system lesion\', \'labyrinthine weakness\' and \'unilateral weakness results\', which are all related to unilateral vestibular hypofunction or other similar conditions."" \n\n}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions \'chronic dizzy patients\' which implies a persistent or enduring symptom of dizziness."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It only talks about the Fukuda Stepping Test and its sensitivity and specificity in identifying peripheral vestibular system lesions."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'chronic dizzy patients\' which implies that the duration of symptoms is indeed more than 3 months."" \n\n}']"
"['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract describes the purpose and design of a study, which is typical in a research article. However, it also mentions that it\'s a \'technical report\', which suggests that it might be a review or summary of existing literature rather than an original research study.""}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a retrospective review of FST results as compared to gold standard, caloric irrigation UW outcome values at four severity levels. This suggests an individual study rather than a meta-analysis which typically involves combining the findings from multiple studies."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract describes a study design and results, indicating that the paper is presenting original research rather than providing an opinion or commentary on existing literature."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract suggests that the paper is a technical report rather than a conference proceeding, as it mentions \'a technical report\' in its title and discusses the results of a retrospective review."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  ""reason"": ""The abstract is titled \'Performance of Fukuda Stepping Test as a function of the severity of caloric weakness in chronic dizzy patients\' and starts with \'Background:\', which is typical for letters to editors. The content also appears to be a technical report or an update on a specific study, rather than a full-fledged research article."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  ""reason"": ""The provided text appears to be an abstract of a research study, as it summarizes the background, purpose, design, and results of the study in a concise manner.""\n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract contains words like \'caloric\', \'vestibulospinal\', \'labyrinthine\', which are not typically found in everyday conversation or common medical literature. These terms suggest a specialized vocabulary, possibly from the field of otolaryngology or neurology, and may be indicative of an English language publication.""}']","['{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions \'736 chronic (≥8 wk symptom complaints) dizzy patients\', indicating that the study involves adult humans with symptoms lasting at least 8 weeks."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that the Fukuda Stepping Test (FST) is a low cost evaluation for dizzy patients and also compares it with the gold standard caloric irrigation unilateral weakness (UW) value ≥25%."" \n\n}', '{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract explicitly states that the research is focused on individuals with unilateral peripheral vestibular pathology, which encompasses all of the conditions you mentioned."" \n\n}']","['{\n\n  ""answer"": ""Yes"",\n  \n  ""reason"": ""The abstract mentions that the study sample consists of \'chronic (≥8 wk symptom complaints) dizzy patients\', indicating that the symptoms have persisted for at least 8 weeks."" \n\n}', '{\n\n  ""answer"": ""No"",\n  \n  ""reason"": ""The abstract does not mention any patient-reported questionnaires such as Dizziness Handicap Inventory, Vertigo Symptom Scales, or Visual Analogue Scale. It only discusses the performance of the Fukuda Stepping Test in relation to caloric weakness in chronic dizzy patients."" \n\n}', '{\n\n""answer"": ""Yes"",\n""reason"": ""The abstract mentions that the study sample consists of \'chronic (≥8 wk symptom complaints) dizzy patients\', indicating that the duration of symptoms is indeed more than 3 months."" \n\n}']"
