,sr,Journal,Citation,Source,f_selection,f_rejection,Type_of_exclusion,reason_for_exclsuion,Comment,final_selection,titles,abstracts,dois
79,80,J Physiol,S. A. Cameron and M. B. Dutia Lesion-induced plasticity in rat vestibular nucleus neurones dependent on glucocorticoid receptor activation 1999,PubMed,0.0,1.0,Population,Animal study,,0.0,Lesion-induced plasticity in rat vestibular nucleus neurones dependent on glucocorticoid receptor activation,"Abstract
1. We have recently shown that neurones in the rostral region of the medial vestibular nucleus (MVN) develop a sustained increase in their intrinsic excitability within 4 h of a lesion of the vestibular receptors of the ipsilateral inner ear. This increased excitability may be important in the rapid recovery of resting activity in these neurones during 'vestibular compensation', the behavioural recovery that follows unilateral vestibular deafferentation. In this study we investigated the role of the acute stress that normally accompanies the symptoms of unilateral labyrinthectomy (UL), and in particular the role of glucocorticoid receptors (GRs), in the development of the increase in excitability in the rostral MVN cells after UL in the rat. 2. The compensatory increase in intrinsic excitability (CIE) of MVN neurones failed to occur in animals that were labyrinthectomized under urethane anaesthesia and kept at a stable level of anaesthesia for either 4 or 6 h after UL, so that they did not experience the stress normally associated with the vestibular deafferentation syndrome. In these animals, 'mimicking' the stress response by administration of the synthetic GR agonist dexamethasone at the time of UL, restored and somewhat potentiated CIE in the MVN cells. Administration of dexamethasone in itself had no effect on the intrinsic excitability of MVN cells in sham-operated animals. 3. In animals that awoke after labyrinthectomy, and which therefore experienced the full range of oculomotor and postural symptoms of UL, there was a high level of Fos-like immunoreactivity in the paraventricular nucleus of the hypothalamus over 1.5-3 h post-UL, indicating a strong activation of the stress axis. 4. The GR antagonist RU38486 administered at the time of UL abolished CIE in the rostral MVN cells, and significantly delayed behavioural recovery as indicated by the persistence of circular walking. The mineralocorticoid receptor (MR) antagonist spironolactone administered at the time of UL had no effect. 5. Vestibular compensation thus involves a novel form of 'metaplasticity' in the adult brain, in which the increase in intrinsic excitability of rostral MVN cells and the initial behavioural recovery are dependent both on the vestibular deafferentation and on the activation of glucocorticoid receptors, during the acute behavioural stress response that follows UL. These findings help elucidate the beneficial effects of neuroactive steroids on vestibular plasticity in various species including man, while the lack of such an effect in the guinea-pig may be due to the significant differences in the physiology of the stress axis in that species.",doi: 10.1111/j.1469-7793.1999.0151r.x.
80,81,Auris Nasus Larynx,"A. Canale, F. Caranzano, M. Lanotte, A. Ducati, F. Calamo, A. Albera, M. Lacilla, M. Boldreghini, S. Lucisano and R. Albera Comparison of VEMPs, VHIT and caloric test outcomes after vestibular neurectomy in Menière's disease 2018",PubMed,1.0,,,,some symptoms were written,1.0,"Comparison of VEMPs, VHIT and caloric test outcomes after vestibular neurectomy in Menière's disease","Abstract
Objective: Selective unilateral vestibular neurectomy (VN) is considered a reliable surgical treatment in case of recurrent vertigo in Menière's disease (MD) because of hearing preservation and a minimally invasive posterior fossa retrosigmoid approach. The present study aimed to assess the quality of life and the long-term vestibular function in patients submitted to yearly follow-up after VN because of intractable MD.
Methods: Retrospective series of 15 MD patients undergoing retrosigmoid VN for recurrent vertigo. Outcome measures included cVEMPs and oVEMPs (cervical and ocular vestibular evoked myogenic potentials), VHIT (Video Head Impulse Test) and caloric test, besides to DHI (Dizziness Handicap Inventory) and PTA (Pure Tone Audiometry).
Results: Mean DHI score resulted within normal values in 74% of patients, significantly correlated to the duration of the follow-up. In the operated side, cVEMPs and oVEMPs have not been elicited respectively in 11 patients (73%) and 13 patients (87%), whereas it was not possible to evoke any response at bithermal caloric test in 4 cases. The gain of VOR from VHIT resulted always below normal values after VN except in one patient, who has also undergone an episode of posterior BBPV. The difference between average PTA threshold before and after VN resulted not significant.
Conclusion: The vestibular outcomes prove VN to be an effective and safe surgery in MD; furthermore, the unexpected occurrence of BPPV after VN can justify the presence of neural anastomosis between the inferior vestibular nerve and the cochlear nerve, allowing to still perceive vestibular symptomatology despite of a proper neurectomy.
Keywords: Menière’s disease; Neural anastomosis; Recurrent vertigo; Vestibular neurectomy; Vestibular neurectomy outcomes.",doi: 10.1016/j.anl.2018.04.006.
81,82,BMC Med Genet,"G. Cappuccio, A. Rossi, P. Fontana, E. Acampora, V. Avolio, G. Merla, L. Zelante, A. Secinaro, G. Andria and D. Melis Bronchial isomerism in a Kabuki syndrome patient with a novel mutation in MLL2 gene 2014",PubMed,0.0,1.0,Population,Kabuki syndrome,,0.0,Not Found,Not Found,Not Found
82,83,Laryngoscope,"M. L. Carlson, N. M. Tombers, C. L. W. Driscoll, J. J. Van Gompel, J. I. Lane, A. Raghunathan, K. D. Flemming and M. J. Link Clinically significant intratumoral hemorrhage in patients with vestibular schwannoma 2017",PubMed,0.0,1.0,Outcome,Not included symptoms,,0.0,Clinically significant intratumoral hemorrhage in patients with vestibular schwannoma,"Abstract
Objectives: The frequency of intratumoral hemorrhage (ITH) in vestibular schwannoma (VS) remains undefined.
Methods: Retrospective case series of all patients diagnosed with hemorrhagic VS between 2003 and 2015 at a single tertiary academic skull base center.
Results: Five patients with ITH were evaluated, representing 0.4% of all newly diagnosed VS evaluated at the authors' center during this time. The median age at time of diagnosis was 66 years (range 39-83), four of five cases occurred in men, and all had sporadic unilateral tumors. The frequency of ITH among patients receiving anticoagulation was 5.6% (2 of 36), compared to only 0.2% (3 of 1356) in non-anticoagulated patients (P = 0.006), representing a 25-fold increase. At time of hemorrhage, all patients had acute onset of headache, disequilibrium, and progression of hearing loss; three reported trigeminal symptoms, and two exhibited acute moderate facial paresis. The median tumor size at diagnosis of hemorrhage was 3.1 cm (range 2.4-4.2 cm), and three patients had radiological evidence of hydrocephalus. All patients underwent microsurgical resection. There were no perioperative deaths. At a median follow-up of 25 months (3-70 months), no patient has experienced tumor recurrence.
Conclusion: Tumor-associated hemorrhage in VS occurs in 0.4% of cases and commonly presents with acute neurological change. The risk of clinically significant hemorrhage is greater in patients receiving anticoagulation compared to the general VS population. Prompt microsurgical resection should be pursued when possible since tumor removal may improve neurological symptoms, relieve brainstem compression, and reduce the risk of repeat hemorrhage.
Level of evidence: 4. Laryngoscope, 127:1420-1426, 2017.
Keywords: Vestibular schwannoma; acoustic neuroma; anticoagulation; hemorrhage; intratumoral hemorrhage; microsurgery; skull base surgery; subarachnoid hemorrhage; warfarin.",doi: 10.1002/lary.26193.
84,85,Otolaryngol Head Neck Surg,"A. Casani, D. Nuti, S. S. Franceschini, E. Gaudini and I. Dallan Transtympanic gentamicin and fibrin tissue adhesive for treatment of unilateral Menière's disease: effects on vestibular function 2005",PubMed,1.0,,,,patients suffer from frequent and serious vertigo spells with vomiting,1.0,Transtympanic gentamicin and fibrin tissue adhesive for treatment of unilateral Menière's disease: effects on vestibular function,"Abstract
Objective: To determine the effects of transtympanic injections, with a mixture composed of gentamicin and fibrin tissue adhesive (FTA), on vestibular function of patients with intractable unilateral Menière's disease.
Study design: This was an open, prospective study.
Setting and patients: The study was performed at 2 tertiary referral centers. Twenty-six patients affected by ""definite"" unilateral Menière's disease, unresponsive to medical therapy for at least 6 months, were enrolled.
Intervention: A buffered gentamicin solution mixed with FTA was injected in the middle ear until the development of bedside vestibular hypofunction signs and/or caloric weakness in the treated ear.
Main outcome measure: Vestibular function was evaluated by 3 bedside vestibular tests (observation of spontaneous nystagmus, head shaking test, and head thrust test) and by a caloric test. Tests were performed on days 10 and 30 after completion of treatment. Tests were also performed 3, 6, and 12 months from completion of the gentamicin-FTA protocol. The effects of treatment were also assessed in terms of hearing levels, control of vertigo, and disability status.
Results: In 22 of the 26 patients, only 1 gentamicin-FTA injection was necessary to obtain 1 or more signs indicating a reduction of the vestibular function in the treated ear. Four patients needed another treatment because of the persistence of their incapacitating symptoms during the follow-up. Four patients needed more than 1 injection to obtain a vestibular hypofunction. None of the patients who received 1 or 2 injections presented hearing loss in direct temporal relationship to the treatment.
Conclusions: A mixture of gentamicin and fibrin glue makes it possible to considerably reduce the number of administrations in patients with intractable unilateral Menière's disease. Spontaneous nystagmus, post head shaking nystagmus, and a head thrust sign are the clinical signs that indicate onset or progression of unilateral vestibular hypofunction. These signs were obtained with only 1 injection in 81% of patients.",doi: 10.1016/j.otohns.2005.07.033.
87,88,Otolaryngol Head Neck Surg,"N. Cerchiai, E. Navari, S. Sellari-Franceschini, C. Re and A. P. Casani Predicting the Outcome after Acute Unilateral Vestibulopathy: Analysis of Vestibulo-ocular Reflex Gain and Catch-up Saccades 2018",PubMed,1.0,,,,,0.0,Predicting the Outcome after Acute Unilateral Vestibulopathy: Analysis of Vestibulo-ocular Reflex Gain and Catch-up Saccades,"Abstract
Objectives (1) To describe the relationships among the main instrumental features characterizing an acute unilateral vestibulopathy and (2) to clarify the role of the video head impulse test in predicting the development of chronic vestibular insufficiency. Study Design Case series with chart review. Setting Tertiary referral center. Subjects and Methods Sixty patients suffering from acute unilateral vestibulopathy were retrospectively analyzed: 30 who recovered spontaneously (group 1) and 30 who needed a vestibular rehabilitation program (group 2). The main outcome measures included Dizziness Handicap Inventory score, canal paresis, high-velocity vestibulo-oculomotor reflex gain, and catch-up saccade parameters. The tests were all performed between 4 and 8 weeks from the onset of symptoms. Results The high-velocity vestibulo-oculomotor reflex gain correlated with the Dizziness Handicap Inventory score ( P = .004), with the amplitude of covert and overt saccades ( P < .001), and with the prevalence of overt saccades ( P < .001). Patients in need for vestibular rehabilitation programs had a significantly lower gain ( P < .001) and a higher prevalence and amplitude of overt saccades ( P = .002 and P = .008, respectively). Conversely, we found no differences in terms of response to the caloric test ( P = .359). Conclusions Lower values of high-velocity vestibulo-oculomotor reflex gain and a high prevalence of overt saccades are related to a worse prognosis after acute unilateral vestibulopathy. This is of great interest to clinicians in identifying which patients are less likely to recover and more likely to need a vestibular rehabilitation program.
Keywords: acute unilateral vestibulopathy; caloric test; chronic vestibular insufficiency; dizziness; prognosis; vertigo; vestibular compensation; vestibular rehabilitation; video head impulse test.",doi: 10.1177/0194599817740327.
88,89,Neurol Sci,"A. Cesarani, D. Alpini, B. Monti and G. Raponi The treatment of acute vertigo 2004",PubMed,0.0,1.0,Design,Review,,0.0,The treatment of acute vertigo,"Abstract
Vertigo and dizziness are very common symptoms in the general population. The aim of this paper is to describe the physical and pharmacological treatment of symptoms characterized by sudden onset of rotatory vertigo. Acute vertigo can be subdivided into two main groups: (1) spontaneous vertigo and (2) provoked vertigo, usually by postural changes, generally called paroxysmal positional vertigo (PPV). Sudden onset of acute vertigo is usually due to acute spontaneous unilateral vestibular failure. It can be also fluctuant as, e.g., in recurrent attacks of Ménière's disease. Pharmacotherapy of acute spontaneous vertigo includes Levo-sulpiride i.v., 50 mg in 250 physiologic solution, once or twice a day, methoclopramide i.m., 10 mg once or twice a day, or triethilperazine rectally, once or twice a day, to reduce neurovegetative symptoms; diazepam i.m., 10 mg once or twice a day, to decrease internuclear inhibition, sulfate magnesium i.v., two ampoules in 500 cc physiological solution, twice a day, or piracetam i.v., one ampoule in 500 cc physiological solution, twice a day, to decrease vestibular damage. At the onset of the acute symptoms, patients must lie on their healthy side with the head and trunk raised 20 degrees. The room must be quiet but not darkened. If the patient is able to swallow without vomiting, it is important to reduce nystagmus and stabilize the visual field with gabapentine, per os, 300 mg twice or three times a day. The first step of the physical therapy of acute vertigo is vestibular electrical stimulation, that is to say, a superficial paravertebral electrical stimulation of neck muscles, aimed to reduce antigravitary failure and to increase proprioceptive cervical sensory substitution. PPV is a common complaint and represents one of the most common entities in peripheral vestibular pathology. While the clinical picture is well known and widely described, the etiopathogenesis of PPV is still a matter of debate. Despite the different interpretation of PPV etiopathogenesis, the maneuvers described by Semont, Epley, or Lempert and their modifications are undoubtedly effective. For this reason the first therapeutic approach in acute provoked vertigo must be by means of one of these kinds of treatments.",doi: 10.1007/s10072-004-0213-8.
89,90,J Otolaryngol,"D. A. Charles, H. O. Barber and H. F. Hope-Gill Blood glucose and insulin levels, thyroid function, and serology in Ménière's disease, recurrent vestibulopathy, and psychogenic vertigo 1979",PubMed,1.0,,,,recurrent vestibulopathy (diagnostic criteria in text of paper),0.0,"Blood glucose and insulin levels, thyroid function, and serology in Ménière's disease, recurrent vestibulopathy, and psychogenic vertigo","Abstract
Nineteen patients with unilateral Ménière's disease, 20 with psychogenic dizziness, and 20 with recurrent vestibulopathy (diagnostic criteria in text of paper) were found to have normal five hour glucose tolerance tests, serum thyroxine and effective thyroid indices, and serologic tests for syphilis. Hypothyroidism and hypoglycemia were absent in all groups. An unexplained finding of each diagnostic group was significant increase of fasting blood glucose and insulin levels, and elevated insulin:glucose ratios, compared to a control group. There appears to be no diagnostic indication for performing these chemical and serologic studies in patients with unilateral Ménière's disease, psychogenic vertigo, or recurrent vestibulopathy. Reasons are given to support the view that recurrent vestibulopathy may be a specific vestibular disturbance.",Not Found
91,92,Surg Endosc,"Y. H. Chen, H. Y. Kim, A. Anuwong, T. S. Huang and Q. Y. Duh Transoral robotic thyroidectomy versus transoral endoscopic thyroidectomy: a propensity-score-matched analysis of surgical outcomes 2020",PubMed,0.0,1.0,Population,Transoral robotic thyroidectomy,,0.0,Transoral robotic thyroidectomy versus transoral endoscopic thyroidectomy: a propensity-score-matched analysis of surgical outcomes,"Abstract
Background: Transoral endoscopic thyroidectomy vestibular approach (TOETVA) has been shown to be safe and has similar outcomes as open thyroidectomy for selected patients. It is not clear if transoral robotic thyroidectomy (TORT) may extend transoral endoscopic thyroidectomy to more complex thyroid operations. The study aimed to compare the safety and outcomes of TORT with those of TOETVA.
Methods: We retrospectively reviewed all patients who had TORT and TOETVA performed by a single surgeon from June 2017 to May 2019. Intrathoracic goiter and combined operations were excluded. Surgical outcomes were compared after propensity score matching. Learning curves, as measured by operating time, were evaluated.
Results: A total of 150 patients underwent 154 transoral (55 TORT and 99 TOETVA) thyroidectomy. Of the 154 operations, 28 (18.2%) were bilateral total thyroidectomy and 126 (81.8%) were unilateral thyroid lobectomy. After propensity score matching, we found a longer operative time (median [interquartile range]) for TORT (n = 53) than for the TOETVA (308 [284-388] vs 228 [201-267] min, P < 0.001). Blood loss and visual analog scale scores for pain were not significantly different between the two groups. Central neck lymph node dissection was performed more frequent in the TORT group (28 of 53 [52.8%] vs 10 of 53 [18.9%], P = 0.001), and when performed, the numbers of total and positive lymph nodes did not differ significantly between the two groups. The rates of hypoparathyroidism and recurrent laryngeal nerve injury did not differ significantly between the two groups. There was no conversion to open thyroidectomy, mental nerve injury, or surgical site infection. The learning curve for TORT was 25 cases, but no obvious learning curve was observed for TOETVA.
Conclusions: TORT requires a longer operative time, but is as safe as TOETVA and may be useful for more complex thyroid operations.
Keywords: TOETVA; TORT; Transoral endoscopic thyroidectomy; Transoral robotic thyroidectomy.",doi: 10.1007/s00464-020-08114-1.
93,94,J Neurol Sci,"J. H. Choi, K. Y. Cho, S. Y. Cha, J. D. Seo, M. J. Kim, Y. R. Choi, S. H. Kim, J. S. Kim and K. D. Choi Audiovestibular impairments associated with intracranial hypotension 2015",PubMed,0.0,1.0,Population,patients with intracranial hypotension,,0.0,Audiovestibular impairments associated with intracranial hypotension,"Abstract
Objective: To investigate the patterns and mechanisms of audiovestibular impairments associated with intracranial hypotension.
Methods: We had consecutively recruited 16 patients with intracranial hypotension at the Neurology Center of Pusan National University Hospital for two years. Spontaneous, gaze-evoked, and positional nystagmus were recorded using 3D video-oculography in all patients, and the majority of them also had pure tone audiometry and bithermal caloric tests.
Results: Of the 16 patients, five (31.3%) reported neuro-otological symptoms along with the orthostatic headache while laboratory evaluation demonstrated audiovestibular impairments in ten (62.5%). Oculographic analyses documented spontaneous and/or positional nystagmus in six patients (37.5%) including weak spontaneous vertical nystagmus with positional modulation (n=4) and pure positional nystagmus (n=2). One patient presented with recurrent spontaneous vertigo and tinnitus mimicking Meniere's disease, and showed unidirectional horizontal and torsional nystagmus with normal head impulse tests during the attacks. Bithermal caloric tests were normal in all nine patients tested. Audiometry showed unilateral (n=6) or bilateral (n=1) sensorineural hearing loss in seven (53.8%) of the 13 patients tested.
Conclusions: Intracranial hypotension frequently induces audiovestibular impairments. In addition to endolymphatic hydrops and irritation of the vestibulocochlear nerve, compression or traction of the brainstem or cerebellum due to loss of CSF buoyancy may be considered as a mechanism of frequent spontaneous or positional vertical nystagmus in patients with intracranial hypotension.
Keywords: Audiovestibular impairment; CSF hypovolemia; Dizziness; Hearing loss; Intracranial hypotension; Nystagmus.",doi: 10.1016/j.jns.2015.07.002.
94,95,Neurology,"K. D. Choi, J. S. Kim, H. J. Kim, J. W. Koo, J. H. Kim, C. Y. Kim, C. W. Oh and H. J. Kee Hyperventilation-induced nystagmus in peripheral vestibulopathy and cerebellopontine angle tumor 2007",PubMed,0.0,1.0,Population,,,0.0,Hyperventilation-induced nystagmus in peripheral vestibulopathy and cerebellopontine angle tumor,"Erratum in
Neurology. 2010 Nov 30;75(22):2046",doi: 10.1212/01.wnl.0000271378.54381.6a.
95,96,Neurology,"S. Y. Choi, J. Y. Jang, E. H. Oh, J. H. Choi, J. Y. Park, S. H. Lee and K. D. Choi Persistent geotropic positional nystagmus in unilateral cerebellar lesions 2018",PubMed,0.0,1.0,Population,Cerebellar lesion,,0.0,Persistent geotropic positional nystagmus in unilateral cerebellar lesions,"Abstract
Objective: To determine the prevalence of central lesions in persistent geotropic positional nystagmus, and characteristics and anatomical substrates of the nystagmus in cerebellar lesions.
Methods: We prospectively recruited 58 patients with persistent geotropic positional nystagmus at the Dizziness Clinic of Pusan National University Hospital. Seven patients with unilateral cerebellar lesions were subjected to analysis of clinical characteristics, oculographic data, and MRI lesions. For comparison, we studied 37 cases of peripheral persistent geotropic positional nystagmus.
Results: The prevalence of central lesions in persistent geotropic positional nystagmus was 12% (7/58). Persistent geotropic positional nystagmus in cerebellar lesions was mostly asymmetrical. Horizontal nystagmus changed in direction during the bow-and-lean test with null positions. All patients showed impaired horizontal smooth pursuit bilaterally, and 3 of them also had positional downbeat nystagmus. The peak intensity and asymmetry of persistent geotropic positional nystagmus did not differ between central and peripheral groups (p > 0.05), while there was a difference in the maxima. Lesion overlays revealed that damage to the cerebellar tonsil was responsible for the generation of persistent geotropic positional nystagmus.
Conclusion: Although persistent geotropic positional nystagmus in cerebellar lesions shares the characteristics of nystagmus measures with peripheral cases, accompanying central oculomotor signs can aid in differentiation. In tonsillar lesions, compensatory rotational feedback due to erroneous estimation of the direction of gravity may generate constant horizontal geotropic positional nystagmus.",doi: 10.1212/WNL.0000000000006167.
96,97,J Vestib Res,"S. Y. Choi, H. J. Kee, J. H. Park, H. J. Kim and J. S. Kim Combined peripheral and central vestibulopathy 2014",PubMed,0.0,1.0,Population,Combined peripheral and central,,0.0,Combined peripheral and central vestibulopathy,"Abstract
Diagnosis of central vestibulopathy remains a challenge when it is associated with peripheral vestibular dysfunction because neurotological findings from peripheral vestibulopathy may overshadow those from central vestibular involvements. To define the characteristics of disorders involving both peripheral and central vestibular structures, we classified the combined vestibulopathies into four types according to their vestibular manifestations, and describe a typical case in each subtype. Infarction involving the territory of anterior inferior cerebellar artery is the most common cause of acute unilateral cases, whereas tumors involving the cerebellopontine angle should be of prime suspicion in patients with chronic unilateral ones. Wernicke encephalopathy was most common in patients with acute bilateral combined vestibulopathy while degenerative disorders should be considered in chronic bilateral ones. Since the head impulse test (HIT) is mostly positive in combined vestibulopathy, signs of central vestibular dysfunction other than negative HIT should be sought carefully even in patients with obvious clinical or laboratory features of peripheral vestibulopathy.
Keywords: Vertigo; Wernicke encephalopathy; infarction; tumor; vestibular disorders.",doi: 10.3233/VES-140524.
97,98,J Neurol Sci,"S. Y. Choi, H. J. Kim and J. S. Kim Chasing dizzy chimera: Diagnosis of combined peripheral and central vestibulopathy 2016",PubMed,0.0,1.0,Population,Central,,0.0,Chasing dizzy chimera: Diagnosis of combined peripheral and central vestibulopathy,"Abstract
Diagnosis of combined peripheral and central vestibulopathy remains a challenge since the findings from peripheral vestibular involvements may overshadow those from central vestibular disorders or vice versa. The aim of this study was to enhance detection of these intriguing disorders by characterizing the clinical features and underlying etiologies. We had recruited 55 patients with combined peripheral and central vestibulopathy at the Dizziness Clinic of Seoul National University Bundang Hospital from 2003 to 2013. Peripheral vestibular involvement was determined by decreased caloric responses in either ear, and central vestibulopathy was diagnosed with obvious central vestibular signs or the lesions documented on MRIs to involve the central vestibular structures. Combined peripheral and central vestibulopathy could be classified into four types according to the patterns of vestibular presentation. Infarctions were the most common cause of acute unilateral cases while cerebellopontine angle tumors were mostly found in chronic unilateral ones. Wernicke encephalopathy and degenerative disorders were common in acute and chronic bilateral disorders. Twenty five (45.5%) patients showed only vestibular findings with or without auditory involvements, but association with gaze-evoked nystagmus, impaired smooth pursuit or central types of head shaking nystagmus indicated a central vestibular involvement in most of them (23/25, 92.0%). Given the requirements for urgent treatments and potentially grave prognosis of combined vestibulopathy, central signs should be sought even in patients with clinical or laboratory features of peripheral vestibulopathy. Scrutinized bedside evaluation, however, secured the diagnosis in almost all the patients with combined vestibulopathy.
Keywords: Head impulse test; Infarction; Tumor; Vertigo; Vestibular disorder; Vestibulopathy; Wernicke's encephalopathy.",doi: 10.1016/j.jns.2016.09.063.
98,99,Biomed Res Int,"M. Chovanec, E. Zvěřina, O. Profant, Z. Balogová, J. Kluh, J. Syka, J. Lisý, I. Merunka, J. Skřivan and J. Betka Does attempt at hearing preservation microsurgery of vestibular schwannoma affect postoperative tinnitus? 2015",PubMed,0.0,1.0,Outcome,"No symptom, signs",elimination of tinnitus in 66% but also new-onset of the symptom in 14% of case,0.0,Does attempt at hearing preservation microsurgery of vestibular schwannoma affect postoperative tinnitus?,"Abstract
Background: The aim of this study was to analyze the effect of vestibular schwannoma microsurgery via the retrosigmoid-transmeatal approach with special reference to the postoperative tinnitus outcome.
Material and methods: A prospective study was performed in 89 consecutive patients with unilateral vestibular schwannoma indicated for microsurgery. Patient and tumor related parameters, pre- and postoperative hearing level, intraoperative findings, and hearing and tinnitus handicap inventory scores were analyzed.
Results: Cochlear nerve integrity was achieved in 44% corresponding to preservation of preoperatively serviceable hearing in 47% and useful hearing in 21%. Main prognostic factors of hearing preservation were grade/size of tumor, preoperative hearing level, intraoperative neuromonitoring, tumor consistency, and adhesion to neurovascular structures. Microsurgery led to elimination of tinnitus in 66% but also new-onset of the symptom in 14% of cases. Preservation of useful hearing and neurectomy of the eighth cranial nerve were main prognostic factors of tinnitus elimination. Preservation of cochlear nerve but loss of preoperative hearing emerged as the main factor for tinnitus persistence and new onset tinnitus. Decrease of THI scores was observed postoperatively.
Conclusions: Our results underscore the importance of proper pre- and intraoperative decision making about attempt at hearing preservation versus potential for tinnitus elimination/risk of new onset of tinnitus.",doi: 10.1155/2015/783169.
99,100,Eur Arch Otorhinolaryngol,"M. Chovanec, E. Zvěřina, O. Profant, J. Skřivan, O. Cakrt, J. Lisý and J. Betka Impact of video-endoscopy on the results of retrosigmoid-transmeatal microsurgery of vestibular schwannoma: prospective study 2013",PubMed,0.0,1.0,Outcome,"No symptom, signs",,0.0,Impact of video-endoscopy on the results of retrosigmoid-transmeatal microsurgery of vestibular schwannoma: prospective study,"Abstract
Endoscopy-assisted microsurgery represents modern trend of treatment of the cerebellopontine angle (CPA) pathologies including vestibular schwannoma (VS). Endoscopes are used in adjunct to microscope to achieve better functional results with less morbidity. Angled optics, magnification and illumination enable superior view in the operative field. Consecutive 89 patients with untreated unilateral sporadic vestibular schwannoma undergoing tumor resection via a retrosigmoid approach during 2008-2010 were prospectively analysed. Endoscopy-assisted microsurgical (EA-MS) removal was performed in 39 cases (Grade 1: 2, Grade 2: 5, Grade 3: 9, Grade 4: 22, Grade 5: 1) and microsurgical (MS) removal was performed in 50 cases (Grade 1: 1, Grade 2: 3, Grade 3: 9, Grade 4: 34, Grade 5: 3). Minimally invasive approach with craniotomy ≤ 2.5 cm was employed for small tumors (Grade 1 and 2) in the EA-MS group. Endoscopic technique was used for monitoring of neuro-vascular anatomy in CPA, during dissection of the meatal portion of tumors, assessment of radicality and for identification of potential pathways for CSF leak formation. All cases in MS group were deemed as radically removed. In the EA-MS group, residual tumor tissue in the fundus of internal auditory canal not observable with microscope was identified with endoscope in four cases. Such cases were radicalized. Tumor recurrence was not observed during the follow-up in EA-MS group. There is a suspicious intrameatal tumor recurrence on the repeated MRI scan in one patient in the MS group. Neither mortality nor infection was observed. The most common complication was pseudomeningocele (EA-MS 20 cases; MS 23). It was managed with aspiration with or without tissue-gluing in all cases without the need for any surgical revision. Adjunctive use of endoscope in the EA-MS group identified potential pathways for CSF leak formation, which was not observable with the microscope in five patients. Improved cochlear nerve (EA-MS: 22, MS: 14; p = 0.012), brainstem auditory evoked potentials (EA-MS: 3 of 8, MS: 0 of 4) and hearing (EA-MS: 14 of 36, MS: 4 of 45; p = 0.001) preservation were observed in EA-MS group. Despite the trend for better useful hearing (Gardner-Robertson class 1 and 2) preservation (EA-MS: 8 of 26, MS: 1 of 16) there were no significant differences in the postoperative hearing handicap inventory in both groups. There were no differences in the postoperative tinnitus in both groups. Better facial nerve preservation (EA-MS: 39, MS: 44; p = 0.027) and excellent-very good (House-Brackmann 1 or 2) facial nerve function (EA-MS: 31, MS: 29; p = 0.035) were observed in EA-MS group. Postoperative compensation of vestibular lesion, symptoms typical for VS, patients assessed by dizziness handicap inventory, facial disability index were comparable in both studied groups. Adjunctive use of endoscope during the VS surgery due to its magnification and illumination enable superior view in the operative field. It is valuable for assessment of radicality of resection in the region of internal auditory meatus. Improved information about critical structures and tumor itself helps the surgeon to preserve facial nerve and in selected cases also hearing. These techniques can help to decrease incidence of postoperative complications.",doi: 10.1007/s00405-012-2112-6.
